time,Xc,LP,Q
0,0.5,0.5,1.00E-10
0,0.5,0.5,1.00E-10
120,0.5,0.5,1.00E-10
120,0.5,0.5,1.00E-10
240,0.5,0.5,1.00E-10
240,0.5,0.5,1.00E-10
360,0.5,0.5,1.00E-10
360,0.5,0.5,1.00E-10
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
