0,0.01,0.2,1.00E-10,,,,
0,0.01,0.2,1.00E-10,,,,
30,0.01,0.2,1.00E-10,,,,
30,0.01,0.9,1.00E-10,,,,
34.35,0.01,0.9,1.00E-10,,,,
34.35,0.02,0.9,1.00E-10,,,,
38.7,0.02,0.9,1.00E-10,,,,
38.7,0.03,0.9,1.00E-10,,,,
43.05,0.03,0.9,1.00E-10,,,,
43.05,0.04,0.9,1.00E-10,,,,
47.4,0.04,0.9,1.00E-10,,,,
47.4,0.05,0.9,1.00E-10,,,,
51.75,0.05,0.9,1.00E-10,,,,
51.75,0.06,0.9,1.00E-10,,,,
56.1,0.06,0.9,1.00E-10,,,,
56.1,0.07,0.9,1.00E-10,,,,
60.45,0.07,0.9,1.00E-10,,,,
60.45,0.08,0.9,1.00E-10,,,,
64.8,0.08,0.9,1.00E-10,,,,
64.8,0.09,0.9,1.00E-10,,,,
69.15,0.09,0.9,1.00E-10,,,,
69.15,0.1,0.9,1.00E-10,,,,
73.5,0.1,0.9,1.00E-10,,,,
73.5,0.11,0.9,1.00E-10,,,,
77.85,0.11,0.9,1.00E-10,,,,
77.85,0.12,0.9,1.00E-10,,,,
82.2,0.12,0.9,1.00E-10,,,,
82.2,0.13,0.9,1.00E-10,,,,
86.55,0.13,0.9,1.00E-10,,,,
86.55,0.14,0.9,1.00E-10,,,,420
90.9,0.14,0.9,1.00E-10,,,,
90.9,0.15,0.9,1.00E-10,,,,
95.25,0.15,0.9,1.00E-10,,,,
95.25,0.16,0.9,1.00E-10,,,,
99.6,0.16,0.9,1.00E-10,,,,
99.6,0.17,0.9,1.00E-10,,,,
103.95,0.17,0.9,1.00E-10,,,,
103.95,0.18,0.9,1.00E-10,,,,
108.3,0.18,0.9,1.00E-10,,,,
108.3,0.19,0.9,1.00E-10,,,,
112.65,0.19,0.9,1.00E-10,,,,
112.65,0.2,0.9,1.00E-10,,,,
117,0.2,0.9,1.00E-10,,,,
117,0.21,0.9,1.00E-10,,,,
121.35,0.21,0.9,1.00E-10,,,,
121.35,0.22,0.9,1.00E-10,,,,
125.7,0.22,0.9,1.00E-10,,,,
125.7,0.23,0.9,1.00E-10,,,,
130.05,0.23,0.9,1.00E-10,,,,
130.05,0.24,0.9,1.00E-10,,,,
134.4,0.24,0.9,1.00E-10,,,,
134.4,0.25,0.9,1.00E-10,,,,
138.75,0.25,0.9,1.00E-10,,,,
138.75,0.26,0.9,1.00E-10,,,,
143.1,0.26,0.9,1.00E-10,,,,
143.1,0.27,0.9,1.00E-10,,,,
147.45,0.27,0.9,1.00E-10,,,,
147.45,0.28,0.9,1.00E-10,,,,
151.8,0.28,0.9,1.00E-10,,,,
151.8,0.29,0.9,1.00E-10,,,,
156.15,0.29,0.9,1.00E-10,,,,
156.15,0.3,0.9,1.00E-10,,,,
160.5,0.3,0.9,1.00E-10,,,,
160.5,0.31,0.9,1.00E-10,,,,
164.85,0.31,0.9,1.00E-10,,,,
164.85,0.32,0.9,1.00E-10,,,,
169.2,0.32,0.9,1.00E-10,,,,
169.2,0.33,0.9,1.00E-10,,,,
173.55,0.33,0.9,1.00E-10,,,,
173.55,0.34,0.9,1.00E-10,,,,
177.9,0.34,0.9,1.00E-10,,,,
177.9,0.35,0.9,1.00E-10,,,,
182.25,0.35,0.9,1.00E-10,,,,
182.25,0.36,0.9,1.00E-10,,,,
186.6,0.36,0.9,1.00E-10,,,,
186.6,0.37,0.9,1.00E-10,,,,
190.95,0.37,0.9,1.00E-10,,,,
